Genome	D300242.digesta_deep Covered Bases	D300243.digesta_deep Covered Bases	D300244.digesta_deep Covered Bases	D300245.digesta_deep Covered Bases	D300246.digesta_deep Covered Bases	D300247.digesta_deep Covered Bases	D300248.digesta_deep Covered Bases	D300249.digesta_deep Covered Bases	D300250.digesta_deep Covered Bases	D300251.digesta_deep Covered Bases	D300252.digesta_deep Covered Bases	D300253.digesta_deep Covered Bases	D300254.digesta_deep Covered Bases	D300255.digesta_deep Covered Bases	D300256.digesta_deep Covered Bases	D300257.digesta_deep Covered Bases	D300258.digesta_deep Covered Bases	D300259.digesta_deep Covered Bases	D300260.digesta_deep Covered Bases	D300261.digesta_deep Covered Bases	D300262.digesta_deep Covered Bases	D300263.digesta_deep Covered Bases	D300264.digesta_deep Covered Bases	D300265.digesta_deep Covered Bases	D300271.faeces_shallow Covered Bases	D300272.faeces_shallow Covered Bases	D300273.faeces_shallow Covered Bases	D300274.faeces_shallow Covered Bases	D300275.faeces_shallow Covered Bases	D300276.faeces_shallow Covered Bases	D300277.faeces_shallow Covered Bases	D300278.faeces_shallow Covered Bases	D300279.faeces_shallow Covered Bases	D300280.faeces_shallow Covered Bases	D300281.faeces_shallow Covered Bases	D300282.faeces_shallow Covered Bases	D300283.faeces_shallow Covered Bases	D300284.faeces_shallow Covered Bases	D300285.faeces_shallow Covered Bases	D300286.faeces_shallow Covered Bases	D300287.faeces_shallow Covered Bases	D300288.faeces_shallow Covered Bases	D300289.faeces_shallow Covered Bases	D300290.faeces_shallow Covered Bases	D300291.faeces_shallow Covered Bases	D300292.faeces_shallow Covered Bases	D300293.faeces_shallow Covered Bases	D300294.faeces_shallow Covered Bases	D300295.faeces_shallow Covered Bases	D300296.faeces_shallow Covered Bases	D300297.faeces_shallow Covered Bases	D300298.faeces_shallow Covered Bases	D300299.faeces_shallow Covered Bases	D300300.faeces_shallow Covered Bases	D300301.faeces_shallow Covered Bases	D300302.faeces_shallow Covered Bases	D300303.faeces_shallow Covered Bases	D300304.faeces_shallow Covered Bases	D300305.faeces_shallow Covered Bases	D300306.faeces_shallow Covered Bases	D300307.faeces_shallow Covered Bases	D300308.faeces_shallow Covered Bases	D300309.faeces_shallow Covered Bases	D300310.faeces_shallow Covered Bases	D300311.faeces_shallow Covered Bases	D300312.faeces_shallow Covered Bases	D300313.faeces_shallow Covered Bases	D300314.faeces_shallow Covered Bases	D300315.faeces_shallow Covered Bases	D300316.faeces_shallow Covered Bases	D300317.faeces_shallow Covered Bases	D300318.faeces_shallow Covered Bases	D300319.faeces_shallow Covered Bases	D300320.faeces_shallow Covered Bases	D300321.faeces_shallow Covered Bases	D300322.faeces_shallow Covered Bases	D300323.faeces_shallow Covered Bases	D300324.faeces_shallow Covered Bases	D300325.faeces_shallow Covered Bases	D300326.faeces_shallow Covered Bases	D300327.faeces_shallow Covered Bases	D300328.faeces_shallow Covered Bases	D300329.faeces_shallow Covered Bases	D300330.faeces_shallow Covered Bases	D300331.faeces_shallow Covered Bases	D300332.faeces_shallow Covered Bases	D300333.faeces_shallow Covered Bases	D300334.faeces_shallow Covered Bases	D300335.faeces_shallow Covered Bases	D300336.faeces_shallow Covered Bases	D300337.faeces_shallow Covered Bases	D300338.faeces_shallow Covered Bases	D300339.faeces_shallow Covered Bases	D300340.faeces_shallow Covered Bases	D300341.faeces_shallow Covered Bases	D300342.faeces_shallow Covered Bases	D300343.faeces_shallow Covered Bases	D300344.faeces_shallow Covered Bases	D300345.faeces_shallow Covered Bases	D300346.faeces_shallow Covered Bases	D300347.faeces_shallow Covered Bases	D300348.faeces_shallow Covered Bases	D300349.faeces_shallow Covered Bases	D300350.faeces_shallow Covered Bases	D300351.faeces_shallow Covered Bases	D300352.faeces_shallow Covered Bases	D300353.faeces_shallow Covered Bases	D300354.faeces_shallow Covered Bases	D300355.faeces_shallow Covered Bases	D300356.faeces_shallow Covered Bases	D300357.faeces_shallow Covered Bases	D300358.faeces_shallow Covered Bases	D300359.faeces_shallow Covered Bases	D300360.faeces_shallow Covered Bases	D300361.faeces_shallow Covered Bases	D300362.faeces_shallow Covered Bases	D300363.faeces_shallow Covered Bases	D300364.faeces_shallow Covered Bases	D300365.faeces_shallow Covered Bases	D300366.faeces_shallow Covered Bases	D300367.faeces_shallow Covered Bases	D300368.faeces_shallow Covered Bases	D300369.faeces_shallow Covered Bases	D300370.faeces_shallow Covered Bases	D300371.faeces_shallow Covered Bases	D300372.faeces_shallow Covered Bases	D300373.faeces_shallow Covered Bases	D300374.faeces_shallow Covered Bases	D300375.faeces_shallow Covered Bases	D300376.faeces_shallow Covered Bases	D300377.faeces_shallow Covered Bases	D300378.faeces_shallow Covered Bases	D300379.faeces_shallow Covered Bases	D300380.faeces_shallow Covered Bases	D300381.faeces_shallow Covered Bases	D300382.faeces_shallow Covered Bases	D300383.faeces_shallow Covered Bases	D300384.faeces_shallow Covered Bases	D300385.faeces_shallow Covered Bases	D300386.faeces_shallow Covered Bases	D300387.faeces_shallow Covered Bases	D300388.faeces_shallow Covered Bases	D300389.faeces_shallow Covered Bases	D300390.faeces_shallow Covered Bases	D300391.faeces_shallow Covered Bases	D300392.faeces_shallow Covered Bases	D300393.faeces_shallow Covered Bases
D300242:bin_000003	2225389	781065	1601236	499888	2208750	2183488	999597	1060574	1659007	2181806	2136892	2203205	928137	1339746	2215899	652332	2213450	2211639	2205695	2175507	467190	1003462	77167	2163439	2202966	0	300673	0	16233	239	64116	299909	1412265	604773	79176	22367	612694	807364	849002	2093232	2086765	5610	134085	29834	325058	2062610	650686	417508	1965406	2062371	1405306	394541	221845	556232	141042	401434	385045	44567	255709	1984545	613687	1975960	1844427	183360	1557328	309914	986228	430698	1345151	264934	96371	363417	858822	287492	160110	634020	101888	820199	519501	1777240	1199997	158262	243313	48577	830427	1334419	832472	110354	1844220	1443014	197811	181496	1475293	985998	2037538	45007	1729288	978223	54878	646684	448205	1055738	1367512	168883	105210	87902	1712263	119970	230684	48974	59111	1262919	7382	1626979	1739588	580162	49893	2146960	122950	81479	94971	77187	1486136	1069920	934620	1000823	1093795	1115852	130004	70767	438677	117675	142748	72842	292694	78596	56844	95187	79013	75149	1633912	754486	2069507	253068	180360	0	12674
D300242:bin_000004	2131404	913769	816796	1387303	450780	1885684	1543362	1990382	181456	664126	1846119	149799	592094	1277748	1058383	754138	1507351	888215	80468	1881421	1103937	682026	810916	203366	150883	0	14677	0	40345	0	47565	10732	55885	9987	29141	45220	32639	480614	30945	17279	104628	1321568	18027	203985	43222	286705	15513	154430	16753	20120	14486	33732	52206	37024	34798	50885	1753671	44802	662678	88176	71908	165071	35904	764603	1465552	398993	247192	109986	60690	76267	485420	90866	26623	36746	289561	300861	197634	59595	60828	38513	662904	1303914	1551928	74912	384902	1589556	1248934	1318266	229642	44229	188585	798905	26926	26622	1270178	31260	56873	86127	426642	1360408	30183	24128	24953	98574	64706	44189	766383	35046	48400	6483	41438	386410	134036	1200907	2097556	21125	125243	72489	29860	122250	138105	49214	14466	10041	889990	344096	321185	452142	1718573	61721	19460	157939	638451	928753	34864	814252	697983	91422	114817	540172	1131361	122570	13215	241623	47275	3400	4991
D300242:bin_000011	1563650	841194	1507136	99909	1489042	1514436	51324	87517	512787	1149905	1512739	1486076	1508162	311265	1202670	1510446	1513304	1003962	965212	1312298	300418	80186	182642	1220423	44862	0	187	0	1996	0	1893	1299	586401	767	1943	4114	6717	210258	10924	0	15301	6707	4255	1238	3781	35367	788	5841	7881	7456	372	8797	2587	5795	1229	80417	26700	2665	19917	11896	8372	378132	9936	13167	27904	9225	61277	2770	7812	5602	13445	266893	14883	3274	2240	5398	8003	289014	12756	18583	122051	9004	18261	243840	21274	20025	240683	6428	695948	469276	11879	14034	36032	3777	78387	300	426	40387	5525	2850	5778	24691	7649	316640	11961	9876	25127	7067	13589	1342	13555	108999	49968	648695	656184	576	5972	252377	5735	4595	7490	8013	45525	5397	12901	11941	12398	580340	18820	379434	5659	11878	7895	8611	2779	11717	8939	21329	134374	39583	546434	211178	12234	4970	7138	0	0
D300242:bin_000012	2719122	2684497	2713697	2707800	2715658	2684277	2671582	2622536	2713552	2716117	2705351	2716399	2708936	2713985	2714464	2696179	2711982	2714148	2709867	2715448	2638466	2714802	2591470	2713791	2688552	0	937649	0	2530156	0	2365303	129589	2605844	598493	2460836	2223552	2275280	2471544	2528165	1159017	2015474	752115	2475757	1516728	2415088	2589954	455511	1631168	2519768	2493844	2170887	2538355	2318867	2541626	2302070	2538653	2439339	2449382	2551085	2569059	2528755	1501284	2540735	2498383	2434185	1974455	2463665	1672043	2466823	1629090	2456889	2157263	2407305	2319390	1640256	2217140	2326940	2448431	2522601	2484139	2492471	1958481	2613068	2202635	2587179	2507438	2449563	1308302	2416566	2454039	2490501	2299251	2566266	2395136	2520892	2253703	567909	2502118	1499846	2389125	2464489	2348347	2132218	2296358	1690862	1589556	2359668	2550268	2353941	2058083	2076694	2523240	989882	2553481	2501874	2236597	2357649	2531061	1796679	1511360	2353069	1127324	2557060	2505372	2397544	2492994	2438547	2395601	2469425	2185487	2441215	2386277	2249139	2030088	305118	2409862	1021340	2526152	2034780	2171684	1528587	2484170	2139695	2510604	83903	7368	50216
D300242:bin_000024	2781297	2384757	2587338	2426640	2596061	2604708	2609857	2555991	2692764	2725234	2610472	2639011	2750369	2775801	2774825	2549848	2741980	2731071	2610372	2665857	2590668	2624650	2562377	2637920	2275471	0	40855	0	1471	225	44700	11689	2199027	20332	295684	61627	339802	937998	612526	14138	1151983	473183	302878	481628	366897	1177019	126970	1530502	262697	1154358	315063	330844	772843	627409	12416	258990	2445891	141196	1145566	1504688	1750342	1106535	2295757	833200	1154384	742630	1199276	303580	849284	719249	888074	2172580	1369322	25186	250301	131287	623254	925681	515403	218317	740013	996594	1349794	1319750	1013425	183134	2217764	708782	1703241	563373	495152	625915	945263	502910	256936	37773	11794	1068285	1609971	503223	657094	1061182	1856239	1671400	1975554	1428338	1292742	17212	1903500	125839	646323	1626959	1385484	1081222	1746624	192215	976347	2035945	1473389	2112387	1515589	1095965	313858	98597	1212763	1826396	327526	1034150	227131	586889	84320	578718	1199531	1000245	81869	1593470	193716	1429492	1770482	1241850	571200	656036	233568	524953	1913185	3374	435
D300242:bin_000025	1400122	994278	977532	484378	1084928	1354524	375502	1120807	1021099	1386751	1333856	1381509	1118934	876031	1390428	877147	1365878	1306084	884073	1288457	958421	771167	436068	1343848	1227158	0	7172	0	19095	0	41103	14061	392181	9718	35565	57268	97191	630377	140718	17014	197162	46734	36514	39549	63944	383155	17721	30853	17135	35063	7571	415378	35511	46917	9404	47479	122338	30377	238564	36695	59856	588497	259543	228498	469607	128731	492282	364261	48535	72632	62024	150053	87513	39220	26100	12121	142436	369097	72819	506781	287672	123906	355424	69670	684892	228333	97420	44356	216876	329053	161567	183806	91795	24095	148647	15460	13461	921276	37372	38000	27053	721310	30680	82420	57365	95830	92377	35189	72541	29476	140996	616546	32824	599390	344739	5100	47635	539690	50829	29720	82380	73784	166309	49403	72340	106048	281093	382367	114286	132664	39316	20825	49943	75425	110222	68372	99158	104197	71483	88908	213338	167815	456356	10288	17472	300	1548
D300243:bin_000001	2010152	2253848	2178116	1892601	1840692	323197	2153725	2163529	2146784	2148876	70527	1976085	2110747	1995216	2154505	1476584	1746289	2061738	2085717	1958925	2167203	1933947	2119280	1890858	798020	0	13233	0	10646	0	199951	10258	673552	12907	17790	17578	28214	790861	375249	12687	553693	216209	93603	475303	1868588	919695	41954	15623	22952	8831	86447	1373466	263294	53582	12091	1193368	1628573	1168644	1001953	154239	1742565	229828	1190121	1626059	383185	1017687	640592	958698	13004	25596	411790	714651	480398	12061	11101	15643	1029496	87131	349785	193778	403459	1438882	1055425	498533	825096	580616	1201380	803540	890425	157512	739232	454685	291843	14207	296782	253726	14295	211113	498578	143458	24081	327305	189722	844195	263858	506329	234515	15942	941272	119133	277589	1249395	122752	925786	626836	14603	439082	731879	731423	145526	626252	326353	248231	15065	253421	443784	566995	766890	515062	707239	44136	1026270	677416	751990	1209242	1358951	169593	1012932	506359	575413	129120	390854	16968	517826	12226	1791	1185
D300243:bin_000006	217868	1738489	22238	3864	17325	439225	340615	116168	1489646	5216	13953	29367	5183	97053	179710	16797	43392	13432	52643	18965	55925	49243	19434	558556	97533	0	38162	0	0	0	2102	5889	29998	2342	910	22207	45843	251221	29397	22723	229699	3144	574	2013	6169	234899	314172	841	33726	11654	809	50705	21257	21424	20949	619	8360	28024	40244	13005	3331	14201	600	2084	157358	596	1727	15413	1497	3328	1668	182309	105165	21904	4983	732	919894	18944	73788	15607	8487	163005	39817	1583	161435	42077	4814	27713	670707	126203	28831	24965	857	4419	133294	13942	9252	10424	253	2906	1627	1283	76793	475	3033	1732	305902	3561	62892	0	5943	29800	334	426309	87603	3220	346	6764	6601	1860	351	19235	36202	1405	10243	887	27946	7605	391	600	17594	300	16121	40064	4080	456	1067	1234	52771	12618	450	38832	450	1420	7603	0	26726
D300243:bin_000014	1159444	2172052	724250	1364998	317343	1406503	1835103	1687739	606259	734876	612656	407351	124476	1103387	1431098	1395520	1608743	139464	318658	1586541	1398996	1588795	1738243	138354	118503	0	19069	0	23383	0	49750	18566	58106	20037	51781	968538	16764	284943	14827	14646	30261	735891	39192	177650	768224	44707	19039	173997	26673	17214	50661	25518	355875	41826	48689	1519428	1086990	49594	144941	136146	200375	107349	62478	1100194	143647	154875	477084	890346	101757	71249	168738	223697	233137	28318	292970	147965	265695	55828	43333	93522	116017	282097	396675	102596	123502	138836	217513	314928	67495	138230	44393	465058	225697	20702	351840	980666	499937	22785	461179	178741	48176	196630	18979	610783	231372	323162	188538	24626	411681	7427	340217	551783	71713	550794	537676	22189	514710	134551	103577	167389	294340	252092	18155	10227	31056	61144	90383	130680	569948	25116	14625	566197	171039	344683	150674	154968	631121	180546	87576	498243	259149	197123	22428	48925	91523	3895	563
D300243:bin_000016	124955	1614462	638241	576991	68823	528031	611448	1532916	1418422	100170	1539534	90140	1225690	847686	143486	1507031	100762	64003	70501	95999	108589	728426	1256439	96526	85443	0	3360	0	7765	0	19496	1588	25485	1513	19398	13172	11648	16086	22323	1521	29320	97005	16081	29842	25395	25033	2302	7388	6172	3635	5939	20078	118554	38136	6719	24395	402239	17949	24001	5488	16319	41550	17625	58896	413588	258023	29230	21443	13716	33061	20443	19421	22871	4357	6986	9065	31280	304844	25132	180732	14628	759040	38652	45474	33485	33991	143915	79056	52401	18726	33690	782530	26579	8973	73605	3634	4748	37980	56144	12668	4547	17772	5323	45717	1205036	37611	164668	7952	22432	6019	69408	30242	50544	33687	61645	13478	65753	22728	8380	30237	352717	65097	17205	2818	42865	28455	10302	28629	306050	78601	22308	16232	30204	303280	89748	55616	25751	219819	29460	124383	42447	27706	4974	19714	4474	0	0
