sample,library,animal,treatment,day,type
D300242,J014eFD2L1I1,J014,TJ2,28,digesta
D300243,J009eFD2L1I1,J009,TJ1,28,digesta
D300244,J017eFD2L1I1,J017,TJ1,28,digesta
D300245,J005eFD2L1I1,J005,TJ1,28,digesta
D300246,J018eFD2L1I1,J018,TJ2,28,digesta
D300247,J015eFD2L1I1,J015,TJ2,28,digesta
D300248,J008eFD2L1I1,J008,TJ1,28,digesta
D300249,J001eFD2L1I1,J001,TJ1,28,digesta
D300250,J024eFD2L1I1,J024,TJ1,28,digesta
D300251,J003eFD2L1I1,J003,TJ2,28,digesta
D300252,J007eFD2L1I1,J007,TJ2,28,digesta
D300253,J022eFD2L1I1,J022,TJ2,28,digesta
D300254,J021eFD2L1I1,J021,TJ1,28,digesta
D300255,J013eFD2L1I1,J013,TJ1,28,digesta
D300256,J010eFD2L1I1,J010,TJ2,28,digesta
D300257,J020eFD2L1I1,J020,TJ1,28,digesta
D300258,J011eFD2L1I1,J011,TJ2,28,digesta
D300259,J012eFD2L1I1,J012,TJ2,28,digesta
D300260,J002eFD2L1I1,J002,TJ2,28,digesta
D300261,J006eFD2L1I1,J006,TJ2,28,digesta
D300262,J004eFD2L1I1,J004,TJ1,28,digesta
D300263,J016eFD2L1I1,J016,TJ1,28,digesta
D300264,J019eFD2L1I1,J019,TJ1,28,digesta
D300265,J023eFD2L1I1,J023,TJ2,28,digesta
D300271,J018dMD1L1I1,J018,TJ2,21,faeces
D300272,control,cont,NA,NA,control
D300273,J009aMD2L1I1,J009,TJ1,0,faeces
D300274,control,cont,NA,NA,control
D300275,J024aMD1L1I1,J024,TJ1,0,faeces
D300276,control,cont,NA,NA,control
D300277,J022aMD1L1I1,J022,TJ2,0,faeces
D300278,J017aMD1L1I1,J017,TJ1,0,faeces
D300279,J002eMD2L1I1,J002,TJ2,28,faeces
D300280,J019aMD1L1I1,J019,TJ1,0,faeces
D300281,J015aMD1L1I1,J015,TJ2,0,faeces
D300282,J014aMD1L1I1,J014,TJ2,0,faeces
D300283,J023cMD1L1I1,J023,TJ2,14,faeces
D300284,J003dMD2L1I1,J003,TJ2,21,faeces
D300285,J023dMD1L1I1,J023,TJ2,21,faeces
D300286,J007aMD2L1I1,J007,TJ2,0,faeces
D300287,J023eMD1L1I1,J023,TJ2,28,faeces
D300288,J005cMD2L1I1,J005,TJ1,14,faeces
D300289,J016aMD1L1I1,J016,TJ1,0,faeces
D300290,J001bMD2L1I1,J001,TJ1,7,faeces
D300291,J002aMD2L1I1,J002,TJ2,0,faeces
D300292,J002cMD2L1I1,J002,TJ2,14,faeces
D300293,J018aMD1L1I1,J018,TJ2,0,faeces
D300294,J019bMD1L1I1,J019,TJ1,7,faeces
D300295,J022bMD1L1I1,J022,TJ2,7,faeces
D300296,J023bMD1L1I1,J023,TJ2,7,faeces
D300297,J006aMD2L1I1,J006,TJ2,0,faeces
D300298,J008aMD2L1I1,J008,TJ1,0,faeces
D300299,J012aMD1L1I1,J012,TJ2,0,faeces
D300300,J003aMD2L1I1,J003,TJ2,0,faeces
D300301,J024bMD1L1I1,J024,TJ1,7,faeces
D300302,J013aMD1L1I1,J013,TJ1,0,faeces
D300303,J001eMD2L1I1,J001,TJ1,28,faeces
D300304,J004aMD2L1I1,J004,TJ1,0,faeces
D300305,J008dMD2L1I1,J008,TJ1,21,faeces
D300306,J003bMD2L1I1,J003,TJ2,7,faeces
D300307,J004bMD2L1I1,J004,TJ1,7,faeces
D300308,J011eMD1L1I1,J011,TJ2,28,faeces
D300309,J002bMD2L1I1,J002,TJ2,7,faeces
D300310,J019cMD1L1I1,J019,TJ1,14,faeces
D300311,J014dMD1L1I1,J014,TJ2,21,faeces
D300312,J020cMD1L1I1,J020,TJ1,14,faeces
D300313,J022eMD1L1I1,J022,TJ2,28,faeces
D300314,J014bMD1L1I1,J014,TJ2,7,faeces
D300315,J010bMD2L1I1,J010,TJ2,7,faeces
D300316,J001aMD2L1I1,J001,TJ1,0,faeces
D300317,J021cMD1L1I1,J021,TJ1,14,faeces
D300318,J004dMD2L1I1,J004,TJ1,21,faeces
D300319,J022dMD1L1I1,J022,TJ2,21,faeces
D300320,J023aMD1L1I1,J023,TJ2,0,faeces
D300321,J020bMD1L1I1,J020,TJ1,7,faeces
D300322,J007bMD2L1I1,J007,TJ2,7,faeces
D300323,J008cMD2L1I1,J008,TJ1,14,faeces
D300324,J007eMD2L1I1,J007,TJ2,28,faeces
D300325,J022cMD1L1I1,J022,TJ2,14,faeces
D300326,J007cMD2L1I1,J007,TJ2,14,faeces
D300327,J006dMD2L1I1,J006,TJ2,21,faeces
D300328,J001cMD2L1I1,J001,TJ1,14,faeces
D300329,J004cMD2L1I1,J004,TJ1,14,faeces
D300330,J021eMD1L1I1,J021,TJ1,28,faeces
D300331,J003cMD2L1I1,J003,TJ2,14,faeces
D300332,J014cMD1L1I1,J014,TJ2,14,faeces
D300333,J013eMD1L1I1,J013,TJ1,28,faeces
D300334,J001dMD2L1I1,J001,TJ1,21,faeces
D300335,J018eMD1L1I1,J018,TJ2,28,faeces
D300336,J011dMD1L1I1,J011,TJ2,21,faeces
D300337,J017dMD1L1I1,J017,TJ1,21,faeces
D300338,J009cMD2L1I1,J009,TJ1,14,faeces
D300339,J011bMD1L1I1,J011,TJ2,7,faeces
D300340,J005bMD2L1I1,J005,TJ1,7,faeces
D300341,J007dMD2L1I1,J007,TJ2,21,faeces
D300342,J021bMD1L1I1,J021,TJ1,7,faeces
D300343,J005aMD2L1I1,J005,TJ1,0,faeces
D300344,J010cMD2L1I1,J010,TJ2,14,faeces
D300345,J020dMD1L1I1,J020,TJ1,21,faeces
D300346,J015bMD1L1I1,J015,TJ2,7,faeces
D300347,J008bMD2L1I1,J008,TJ1,7,faeces
D300348,J010eMD1L1I1,J010,TJ2,28,faeces
D300349,J006bMD2L1I1,J006,TJ2,7,faeces
D300350,J009eMD2L1I1,J009,TJ1,28,faeces
D300351,J005dMD2L1I1,J005,TJ1,21,faeces
D300352,J024dMD1L1I1,J024,TJ1,21,faeces
D300353,J015dMD1L1I1,J015,TJ2,21,faeces
D300354,J021aMD1L1I1,J021,TJ1,0,faeces
D300355,J004eMD2L1I1,J004,TJ1,28,faeces
D300356,J017cMD1L1I1,J017,TJ1,14,faeces
D300357,J020eMD1L1I1,J020,TJ1,28,faeces
D300358,J003eMD2L1I1,J003,TJ2,28,faeces
D300359,J019eMD1L1I1,J019,TJ1,28,faeces
D300360,J006eMD2L1I1,J006,TJ2,28,faeces
D300361,J014eMD1L1I1,J014,TJ2,28,faeces
D300362,J017bMD1L1I1,J017,TJ1,7,faeces
D300363,J016dMD1L1I1,J016,TJ1,21,faeces
D300364,J002dMD2L1I1,J002,TJ2,21,faeces
D300365,J021dMD1L1I1,J021,TJ1,21,faeces
D300366,J011aMD1L1I1,J011,TJ2,0,faeces
D300367,J019dMD1L1I1,J019,TJ1,21,faeces
D300368,J024eMD1L1I1,J024,TJ1,28,faeces
D300369,J011cMD1L1I1,J011,TJ2,14,faeces
D300370,J018bMD1L1I1,J018,TJ2,7,faeces
D300371,J010dMD1L1I1,J010,TJ2,21,faeces
D300372,J006cMD2L1I1,J006,TJ2,14,faeces
D300373,J012cMD1L1I1,J012,TJ2,14,faeces
D300374,J012eMD1L1I1,J012,TJ2,28,faeces
D300375,J013cMD1L1I1,J013,TJ1,14,faeces
D300376,J017eMD1L1I1,J017,TJ1,28,faeces
D300377,J024cMD1L1I1,J024,TJ1,14,faeces
D300378,J016bMD1L1I1,J016,TJ1,7,faeces
D300379,J008eMD2L1I1,J008,TJ1,28,faeces
D300380,J016eMD1L1I1,J016,TJ1,28,faeces
D300381,J012bMD1L1I1,J012,TJ2,7,faeces
D300382,J013bMD1L1I1,J013,TJ1,7,faeces
D300383,J016cMD1L1I1,J016,TJ1,14,faeces
D300384,J005eMD2L1I1,J005,TJ1,28,faeces
D300385,J009dMD2L1I1,J009,TJ1,21,faeces
D300386,J013dMD1L1I1,J013,TJ1,21,faeces
D300387,J015eMD1L1I1,J015,TJ2,28,faeces
D300388,J012dMD1L1I1,J012,TJ2,21,faeces
D300389,J018cMD1L1I1,J018,TJ2,14,faeces
D300390,J009bMD2L1I1,J009,TJ1,7,faeces
D300391,J010aMD2L1I1,J010,TJ2,0,faeces
D300392,J015cMD1L1I1,J015,TJ2,14,faeces
D300393,J020aMD1L1I1,J020,TJ1,0,faeces
