Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
D300242:bin_000001.fa,k__Bacteria (UID1453),901,171,117,89.74,0.85,0.0,2097303,45379,1930,1930,58614,388,324,301,12748,11194,36.7,5.38,-100.0,-1,-1,13,157,0,1,0,0
D300242:bin_000002.fa,g__Prevotella (UID2724),55,567,296,98.65,1.8,0.0,3153526,43585,2568,2568,36738,432,353,336,3186,3006,37.3,5.32,-100.0,-1,-1,4,555,8,0,0,0
D300242:bin_000003.fa,k__Bacteria (UID2372),131,177,106,100.0,0.0,0.0,2227139,33458,2284,2284,20009,350,290,275,1741,1628,39.8,7.63,-100.0,-1,-1,0,177,0,0,0,0
D300242:bin_000004.fa,o__Clostridiales (UID1212),172,263,149,97.99,0.67,0.0,2131990,26665,1954,1955,76473,388,320,306,1764,1640,36.5,6.49,-100.0,-1,-1,3,259,1,0,0,0
D300242:bin_000005.fa,g__Lactobacillus (UID377),91,430,154,98.3,4.92,71.43,1994317,32068,2165,2165,20374,340,273,258,1436,1366,35.3,5.46,-100.0,-1,-1,4,405,21,0,0,0
D300242:bin_000006.fa,o__Selenomonadales (UID1024),64,334,167,96.41,3.95,75.0,2170699,21464,2197,2197,12457,360,292,283,1615,1543,38.0,4.38,-100.0,-1,-1,7,315,12,0,0,0
D300242:bin_000007.fa,o__Bacteroidales (UID2617),213,406,265,94.34,2.58,75.0,2722103,39866,2415,2415,9938,413,325,308,2496,2287,37.3,4.94,-100.0,-1,-1,18,380,8,0,0,0
D300242:bin_000008.fa,p__Firmicutes (UID1022),100,295,158,98.21,5.29,55.56,3084850,29495,3080,3080,7084,350,268,259,2602,2471,38.1,7.0,-100.0,-1,-1,4,273,18,0,0,0
D300242:bin_000009.fa,o__Bacteroidales (UID2657),160,492,269,95.49,3.12,64.29,2612611,31343,1961,1961,17083,449,362,346,2517,2340,36.6,4.15,-100.0,-1,-1,17,463,11,1,0,0
D300242:bin_000010.fa,o__Selenomonadales (UID1024),64,334,167,97.29,3.16,44.44,1905494,21876,1952,1952,13430,348,287,276,1393,1319,38.0,4.45,-100.0,-1,-1,6,319,9,0,0,0
D300242:bin_000011.fa,o__Clostridiales (UID1120),304,250,143,78.18,1.4,0.0,1564983,32333,1623,1623,64092,344,288,268,3271,2971,38.3,6.22,-100.0,-1,-1,42,206,2,0,0,0
D300242:bin_000012.fa,o__Bacteroidales (UID2716),92,487,270,94.17,1.59,20.0,2719791,39570,2368,2368,11914,421,336,319,6307,5973,36.8,4.86,-100.0,-1,-1,22,455,10,0,0,0
D300242:bin_000013.fa,k__Bacteria (UID203),5449,104,58,98.28,12.85,51.85,3523770,55124,2926,2926,76650,442,355,336,5073,4762,38.5,5.17,-100.0,-1,-1,1,76,27,0,0,0
D300242:bin_000014.fa,g__Prevotella (UID2724),55,567,296,95.37,6.61,21.21,2888444,46584,2426,2426,31150,432,355,335,2580,2364,37.8,5.64,-100.0,-1,-1,36,498,33,0,0,0
D300242:bin_000015.fa,o__Clostridiales (UID1212),172,261,147,95.03,5.78,25.0,2577654,25833,2488,2488,15575,379,309,299,2075,1969,37.6,5.93,-100.0,-1,-1,18,227,16,0,0,0
D300242:bin_000016.fa,k__Bacteria (UID203),5449,104,58,98.28,4.39,59.09,3123721,45259,2709,2709,20736,433,333,316,2534,2339,38.5,5.46,-100.0,-1,-1,1,81,22,0,0,0
D300242:bin_000017.fa,o__Clostridiales (UID1212),172,263,149,94.59,2.01,0.0,2309658,37013,2139,2139,21166,386,324,307,6508,6062,40.7,4.97,-100.0,-1,-1,23,235,5,0,0,0
D300242:bin_000018.fa,o__Bacteroidales (UID2657),160,492,269,90.93,12.26,88.89,2585377,31871,2491,2491,6493,392,299,286,1834,1688,36.1,5.7,-100.0,-1,-1,34,410,45,3,0,0
D300242:bin_000019.fa,o__Clostridiales (UID1212),172,261,147,96.58,17.14,10.0,3007769,30673,2959,2959,10167,356,287,276,2293,2165,36.3,6.82,-100.0,-1,-1,8,213,40,0,0,0
D300242:bin_000020.fa,p__Bacteroidetes (UID2605),350,316,210,91.3,9.24,44.44,1963850,26897,1676,1676,22323,434,360,344,1838,1747,39.3,3.76,-100.0,-1,-1,37,245,33,1,0,0
D300242:bin_000021.fa,p__Firmicutes (UID1022),100,295,158,97.75,2.68,12.5,2001283,24781,1940,1940,18991,376,306,293,1483,1391,39.2,4.7,-100.0,-1,-1,20,267,8,0,0,0
D300242:bin_000022.fa,o__Clostridiales (UID1212),172,263,149,92.48,0.67,100.0,2483573,33982,2433,2433,12446,379,309,295,2368,2237,39.6,6.85,-100.0,-1,-1,38,224,1,0,0,0
D300242:bin_000023.fa,o__Bacteroidales (UID2716),92,487,270,95.82,2.39,30.0,2922833,40568,2486,2486,18387,423,330,314,2559,2376,37.3,5.38,-100.0,-1,-1,44,433,10,0,0,0
D300242:bin_000024.fa,o__Clostridiales (UID1375),50,332,124,96.0,0.09,25.0,2783357,51087,2782,2782,26827,348,291,273,3161,2958,41.4,6.34,-100.0,-1,-1,46,282,4,0,0,0
D300242:bin_000025.fa,o__Clostridiales (UID1212),172,263,149,63.87,2.01,33.33,1403107,29345,1394,1394,22263,358,296,275,2965,2639,38.6,6.73,-100.0,-1,-1,95,165,3,0,0,0
D300242:bin_000026.fa,p__Bacteroidetes (UID2605),350,316,210,84.21,5.06,33.33,2486507,33858,2506,2506,4347,390,307,293,1835,1750,40.3,4.77,-100.0,-1,-1,55,246,15,0,0,0
D300242:bin_000027.fa,k__Bacteria (UID203),5449,104,58,75.71,12.1,0.0,2220417,31155,2682,2682,3038,301,235,224,1499,1427,37.5,5.69,-100.0,-1,-1,17,70,17,0,0,0
D300242:bin_000028.fa,f__Lachnospiraceae (UID1286),57,420,207,85.76,1.93,75.0,1979857,26549,1833,1833,20071,392,323,309,2432,2279,38.4,5.72,-100.0,-1,-1,102,314,4,0,0,0
D300242:bin_000029.fa,o__Bacteroidales (UID2657),160,492,269,79.61,1.8,28.57,1851786,29316,1885,1885,4572,362,290,274,1619,1500,38.9,6.47,-100.0,-1,-1,112,373,7,0,0,0
D300242:bin_000030.fa,k__Bacteria (UID203),5449,103,57,85.49,27.59,21.92,2563361,29840,2750,2750,4406,342,277,266,2630,2500,39.4,5.92,-100.0,-1,-1,14,51,28,5,5,0
